Country Name,Stable Growth,Cluster,Kategorija
Austria,10.850000000000023,2,Zmerna rast
Belarus,11.950000000000003,2,Zmerna rast
Belgium,17.5,2,Zmerna rast
Bosnia and Herzegovina,-3.299999999999983,0,Stagnacija
Bulgaria,15.5,2,Zmerna rast
Croatia,15.299999999999983,2,Zmerna rast
Czechia,16.0,2,Zmerna rast
Denmark,30.0,1,Visoka rast
Estonia,16.650000000000006,2,Zmerna rast
Finland,24.900000000000006,1,Visoka rast
France,10.549999999999983,2,Zmerna rast
Germany,8.399999999999977,2,Zmerna rast
Greece,-0.44999999999998863,0,Stagnacija
Hungary,13.549999999999983,2,Zmerna rast
Iceland,14.000000000000000,2,Zmerna rast
Ireland,8.550000000000011,2,Zmerna rast
Italy,15.149999999999977,2,Zmerna rast
Latvia,15.89999999999999,2,Zmerna rast
Lithuania,41.54999999999998,1,Visoka rast
Netherlands,37.400000000000006,1,Visoka rast
North Macedonia,5.5,0,Stagnacija
Norway,34.69999999999999,1,Visoka rast
Poland,9.800000000000011,2,Zmerna rast
Portugal,-0.5500000000000114,0,Stagnacija
Romania,3.049999999999983,0,Stagnacija
Russia,26.249999999999986,1,Visoka rast
Serbia,1.0999999999999943,0,Stagnacija
Slovakia,10.0,2,Zmerna rast
Slovenia,10.050000000000011,2,Zmerna rast
Spain,11.150000000000034,2,Zmerna rast
Sweden,26.399999999999977,1,Visoka rast
Switzerland,34.75,1,Visoka rast
Ukraine,28.85000000000001,1,Visoka rast
United Kingdom,10.999999999999972,2,Zmerna rast
